parent_seed,model,outer_fold,fit_trajectories,calibration_trajectories,held_out_trajectories,threshold,calibration_feasible,calibration_macro_run_rmse,calibration_data_only_macro_run_rmse,calibration_mean_control_regret,calibration_mean_positive_control_regret,calibration_harm_rate,calibration_maximum_control_regret,calibration_coverage,held_out_macro_run_rmse,held_out_data_only_macro_run_rmse,held_out_mean_control_regret,held_out_mean_positive_control_regret,held_out_harm_rate,held_out_maximum_control_regret,held_out_coverage
2042,extra_trees_regret,1,48,16,16,-0.07636456558002593,False,0.15428548791753613,0.15428548791753613,0.0,0.0,0.0,0.0,0.0,0.15894620671041418,0.15894620671041418,0.0,0.0,0.0,0.0,0.0
2042,extra_trees_regret,2,48,16,16,-0.05049719121717292,True,0.20699483297537247,0.20857018785917478,-0.0015753548838022841,0.0017157353024711448,0.0625,0.027451764839538317,0.1707516339869281,0.15428548791753613,0.15428548791753613,0.0,0.0,0.0,0.0,0.0
2042,extra_trees_regret,3,48,16,16,-0.06980338798938575,False,0.15952304589585278,0.15952304589585278,0.0,0.0,0.0,0.0,0.0,0.20857018785917478,0.20857018785917478,0.0,0.0,0.0,0.0,0.0
2042,extra_trees_regret,4,48,16,16,-0.07449246991040702,True,0.18578379786349364,0.18633219510006327,-0.0005483972365696145,0.001400481055450568,0.0625,0.02177078030051474,0.11047254150702426,0.15952304589585278,0.15952304589585278,0.0,0.0,0.0,0.0,0.0
3042,logistic_safe,0,48,16,16,0.1928948996164679,True,0.17396637428248257,0.17369204864036716,0.0002743256421154031,0.0008470068042429803,0.0,0.0071351215855645495,0.05009633911368015,0.1650957798851247,0.1656370802928065,-0.0005413004076817969,0.0011973714796823009,0.0625,0.010417606078606673,0.08390022675736962
3042,logistic_safe,1,48,16,16,0.27374363622159914,True,0.19299655410624794,0.1997589835361336,-0.0067624294298856726,0.0010157690639468328,0.0625,0.01481739852347147,0.5200400801603207,0.1739309731509847,0.17369204864036716,0.00023892451061754798,0.005922333748654048,0.3125,0.030549345713909826,0.46483622350674375
3042,logistic_safe,2,48,16,16,0.09524216189063282,True,0.15572879233590647,0.15587838418426592,-0.0001495918483594271,0.00039907374008571386,0.0,0.005513268405324401,0.06018194541637509,0.19943208025066614,0.1997589835361336,-0.0003269032854674621,1.4243041995633254e-05,0.0,0.00013021576953445302,0.021042084168336674
3042,logistic_safe,3,48,16,16,0.2255961430786661,True,0.18216807566848037,0.18527618103475457,-0.003108105366274194,0.0003952697762754781,0.0,0.003741648313481366,0.1704781704781705,0.15618177187966462,0.15587838418426592,0.0003033876953987208,0.0013567018869090515,0.0,0.007669506975662779,0.1364590622813156
3042,logistic_safe,4,48,16,16,0.1886053829952801,True,0.16651598956244923,0.1656370802928065,0.0008789092696427307,0.00142269606285105,0.0625,0.014487126395027403,0.05102040816326531,0.1855825898967518,0.18527618103475457,0.00030640886199721773,0.00041118497260294803,0.0,0.0029970867942171603,0.02494802494802495
3042,extra_trees_safe,0,48,16,16,0.19525699932442797,True,0.17266906739195698,0.17369204864036716,-0.0010229812484101953,0.0010747066196208138,0.0,0.009700537976824214,0.19026974951830444,0.16515058042019498,0.1656370802928065,-0.00048649987261148355,0.00033922131758834604,0.0,0.002479974118396011,0.15873015873015872
3042,extra_trees_safe,1,48,16,16,0.2945287377717841,True,0.19655796896779967,0.1997589835361336,-0.003201014568333934,0.0009020154816885232,0.0,0.007583866571539838,0.6302605210420842,0.17252709623244628,0.17369204864036716,-0.0011649524079208953,0.004523802482424288,0.1875,0.03104946252193036,0.649325626204239
3042,extra_trees_safe,2,48,16,16,0.07569549903135114,True,0.15664707821674095,0.15587838418426592,0.0007686940324750299,0.0007686940324750299,0.0,0.0070652840780134896,0.05038488453463961,0.1997589835361336,0.1997589835361336,0.0,0.0,0.0,0.0,0.0
3042,extra_trees_safe,3,48,16,16,0.22374839708970343,True,0.18242221680737486,0.18527618103475457,-0.00285396422737973,0.0009927747822272397,0.0625,0.012847089087132946,0.14033264033264034,0.15684832098886864,0.15587838418426592,0.0009699368046027362,0.0017274492870306421,0.0625,0.012675374068784884,0.11476557032890133
3042,extra_trees_safe,4,48,16,16,0.2468294588165174,True,0.1640356011188231,0.1656370802928065,-0.001601479173983361,4.584194734836688e-05,0.0,0.0005183062283504181,0.25056689342403626,0.18574803982466426,0.18527618103475457,0.0004718587899096879,0.0004979076329618688,0.0,0.007966522127389901,0.07484407484407485
3042,extra_trees_regret,0,48,16,16,-0.04462730330354103,True,0.1673238888164597,0.17369204864036716,-0.006368159823907467,0.003219004282307536,0.0625,0.04482471780405789,0.16040462427745664,0.1658099104659046,0.1656370802928065,0.00017283017309810498,0.00017283017309810498,0.0,0.001994638272600713,0.005668934240362812
3042,extra_trees_regret,1,48,16,16,-0.02932012964896541,True,0.19911107013498838,0.1997589835361336,-0.0006479134011452108,0.002504913931711681,0.0625,0.03186813729236193,0.21042084168336672,0.17271341451464517,0.17369204864036716,-0.0009786341257220065,0.0013160045452755079,0.0625,0.011678636676584336,0.3203275529865125
3042,extra_trees_regret,2,48,16,16,-0.05470731503569853,True,0.15582384262807844,0.15587838418426592,-5.454155618747451e-05,0.0,0.0,0.0,0.08047585724282715,0.1997589835361336,0.1997589835361336,0.0,0.0,0.0,0.0,0.0
